Drug,Short_Drug,Normal dose,Dose in renal impairment GFR (mL/min)
aciclovir iv,Aciclovir IV,"Herpes simplex treatment: normal or immunocompromised 5 mg/kg every 8 hours
Recurrent varicella zoster infection: normal immune status 5 mg/kg every 8 hours
Primary and recurrent varicella zoster infection: immunocompromised 10 mg/kg every 8 hours
Herpes simplex encephalitis: normal or immunocompromised 10 mg/kg every 8 hours","IV:
25–50	5–10 mg/kg every 12 hours.
10–25	5–10 mg/kg every 24 hours (some units use 3.5–7 mg/kg every 24 hours).
<10	2.5–5 mg/kg every 24 hours.

Oral:
25–50	Dose as in normal renal function.
10–25	Simplex: 200 mg 3–4 times daily
Zoster: 800 mg every 8–12 hours
<10	Simplex: 200 mg every 12 hours
Zoster: 400–800 mg every 12 hours"
aciclovir oral,Aciclovir oral,"Simplex treatment: 200–400 mg 5 times daily
Prophylaxis (immunocompromised): 200–400 mg every 6 hours
Suppression: 200 mg every 6 hours, or 400 mg every 12 hours
Zoster: 800 mg 5 times a day for 7 days","25–50	Dose as in normal renal function.
10–25	Simplex: 200 mg 3–4 times daily
Zoster: 800 mg every 8–12 hours
<10	Simplex: 200 mg every 12 hours
Zoster: 400–800 mg every 12 hours"
aciclovir oral,Aciclovir,"Simplex treatment: 200–400 mg 5 times daily
Prophylaxis (immunocompromised): 200–400 mg every 6 hours
Suppression: 200 mg every 6 hours, or 400 mg every 12 hours
Zoster: 800 mg 5 times a day for 7 days","IV:
25–50	5–10 mg/kg every 12 hours.
10–25	5–10 mg/kg every 24 hours (some units use 3.5–7 mg/kg every 24 hours).
<10	2.5–5 mg/kg every 24 hours.

Oral:
25–50	Dose as in normal renal function.
10–25	Simplex: 200 mg 3–4 times daily
Zoster: 800 mg every 8–12 hours
<10	Simplex: 200 mg every 12 hours
Zoster: 400–800 mg every 12 hours"
acipimox,Acipimox,250 mg 2 or 3 times daily,"40–80	250 mg daily.
20–40	250 mg alternate days. See 'Other information'.
<20	See 'Other information'."
acitretin,Acitretin,"Initially: 25–30 mg daily (Darier’s disease 10 mg daily) for 2–4 weeks, adjusted according to response.
Ongoing: usually 25–50 mg/day (maximum 75 mg) for further 6–8 weeks. (In Darier’s disease and ichthyosis not more than 50 mg daily for up to 6 months.)","20–50	No data available. Assume dose as in normal renal function. See 'Other information'.
10–20	No data available. Assume dose as in normal renal function. See 'Other information'.
<10	No data available. Assume dose as in normal renal function. See 'Other information'."
acrivastine,Acrivastine,8 mg 3 times a day,"20–50	8 mg twice a day.
10–20	8 mg 1–2 times a day.
<10	8 mg 1–2 times a day."
adalimumab,Adalimumab,"40 mg on alternate weeks increased to weekly if monotherapy for rheumatoid arthritis
Crohn’s disease and ulcerative colitis: see product literature
Psoriasis: 80 mg initially then 40 mg on alternate weeks
Other conditions: 40 mg on alternate weeks","20–50	Use with caution. See 'Other information'.
10–20	Use with caution. See 'Other information'.
<10	Use with caution. See 'Other information'."
adefovir dipivoxil,Adefovir,10 mg once daily,"30–50	10 mg every 48 hours.
10–30	10 mg every 72 hours.
<10	10 mg every 72 hours. See 'Other information'."
adenosine,Adenosine,"Initially: 6 mg over 2 seconds with cardiac monitoring followed, if necessary, by 12 mg after 1–2 minutes and then by 12 mg after a further 1–2 minutes.","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
adrenaline (epinephrine),Adrenaline,0.01–1 mcg/kg/minute,"20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
adrenaline (epinephrine),Epinephrine,0.01–1 mcg/kg/minute,"20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
afatinib,Afatinib,40–50 mg once daily,"20–50	Dose as in normal renal function.
15–20	Dose as in normal renal function.
<15	Use with caution. See 'Other information'."
aflibercept,Aflibercept,4 mg/kg every 2 weeks as part of a protocol,"20–50	Dose as in normal renal function. See 'Other information'.
10–20	Dose as in normal renal function. See 'Other information'.
<10	Dose as in normal renal function. See 'Other information'."
agalsidase alfa (replagal),Agalsidase alfa,"0.2 mg/kg, rounded to the nearer full vial every 2 weeks. Vials available as 3.5 mg.","30–50	Dose as in normal renal function.
10–30	Dose as in normal renal function.
<10	Dose as in normal renal function."
agalsidase alfa (replagal),Replagal,"0.2 mg/kg, rounded to the nearer full vial every 2 weeks. Vials available as 3.5 mg.","30–50	Dose as in normal renal function.
10–30	Dose as in normal renal function.
<10	Dose as in normal renal function."
agalsidase beta (fabrazyme),Agalsidase beta,"1 mg/kg, rounded to the nearest full vial every 2 weeks. Available as 5 mg and 35 mg vials.","30–50	Dose as in normal renal function.
10–30	Dose as in normal renal function.
<10	Dose as in normal renal function."
agalsidase beta (fabrazyme),Fabrazyme,"1 mg/kg, rounded to the nearest full vial every 2 weeks. Available as 5 mg and 35 mg vials.","30–50	Dose as in normal renal function.
10–30	Dose as in normal renal function.
<10	Dose as in normal renal function."
agomelatine,Agomelatine,25–50 mg at bedtime,"20–50	Dose as in normal renal function. Use with caution.
10–20	Dose as in normal renal function. Use with caution.
<10	Dose as in normal renal function. Use with caution."
albendazole (unlicensed product),Albendazole,"Echinococcus granulosus:
>60 kg: 400 mg twice daily for 28 days
<60 kg: 15 mg/kg in 2 divided doses to a maximum of 800 mg daily
Treatment of nematode infections: 400 mg as a single dose","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
albiglutide,Albiglutide,30–50 mg once weekly,"30–50	Dose as in normal renal function.
15–30	Dose as in normal renal function. Use with caution.
<15	Dose as in normal renal function. Use with caution."
aldesleukin,Aldesleukin,"IV: 18 x 106 IU/m2 for 5 days, followed by 2–6 days without treatment, then an additional 5 days with treatment and then 3 weeks without.
SC: 18 x 106 IU every day for 5 days, followed by 2 days without treatment. For the following 3 weeks, 18 x 106 IU is administered on days 1 and 2 of each week followed by 9 x 106 IU on days 3–5. On days 6 and 7 no treatment is administered. After 1 week treatment this 4-week cycle should be repeated.
Or as per local policy.","20–50	Use with caution.
10–20	Use with caution.
<10	Use with caution."
alemtuzumab (mabcampath),Alemtuzumab,"3 mg increasing to 30 mg
Maximum dose: 30 mg 3 times a week
MS: 12 mg/day for 2 treatment courses – 1st course for 5 days 2nd course for 3 days","20–50	Use with extreme caution. See 'Other information'.
10–20	Use with extreme caution. See 'Other information'.
<10	Use with extreme caution. See 'Other information'."
alemtuzumab (mabcampath),MabCampath,"3 mg increasing to 30 mg
Maximum dose: 30 mg 3 times a week
MS: 12 mg/day for 2 treatment courses – 1st course for 5 days 2nd course for 3 days","20–50	Use with extreme caution. See 'Other information'.
10–20	Use with extreme caution. See 'Other information'.
<10	Use with extreme caution. See 'Other information'."
alendronic acid,Alendronic,10 mg daily or 70 mg once weekly,"35–50	Dose as in normal renal function.
<35	Avoid. See 'Other information'."
alfacalcidol,Alfacalcidol,"0.25–1 micrograms daily according to response. Alternatively, up to 4 micrograms 3 times a week.","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
alfentanil,Alfentanil,"IV injection:
Spontaneous respiration: up to 500 micrograms over 30 seconds; supplemental dose: 250 micrograms
Assisted ventilation: 30–50 micrograms/kg; supplemental dose: 15 micrograms/kg
By IV infusion with assisted ventilation: loading dose 50–100 micrograms/kg as bolus or fast infusion
over 10 minutes, followed by 0.5–1 micrograms/ kg/minute. Discontinue infusion 30 minutes before anticipated end of surgery.
For analgesia and suppression of respiratory activity during intensive care with assisted ventilation: by IV infusion 2 mg/hour, adjusted according to response (usual range 0.5–10 mg/hour).
For more rapid initial control give 5 mg IV in divided portions over 10 minutes (slower if hypotension or bradycardia develops); additional doses of 0.5–1 mg may be given by IV injection during short painful procedures.","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
alfuzosin hydrochloride,Alfuzosin,"2.5 mg 2–3 times daily, maximum 10 mg daily
XL: 10 mg once daily","30–50	Dose as in normal renal function.
10–30	Initially 2.5 mg twice daily. See 'Other information'.
<10	Initially 2.5 mg twice daily. See 'Other information'."
alimemazine tartrate (trimeprazine),Alimemazine,"10 mg every 8–12 hours, maximum 100 mg/day
Elderly: 10 mg once or twice daily","20–50	Dose as in normal renal function.
10–20	Reduce frequency to every 12–24 hours.
<10	Reduce frequency to every 12–24 hours."
alimemazine tartrate (trimeprazine),Trimeprazine,"10 mg every 8–12 hours, maximum 100 mg/day
Elderly: 10 mg once or twice daily","20–50	Dose as in normal renal function.
10–20	Reduce frequency to every 12–24 hours.
<10	Reduce frequency to every 12–24 hours."
alirocumab,Alirocumab,75–150 mg every 2 weeks,"30–50	Dose as in normal renal function.
10–30	Dose as in normal renal function. Use with caution. Start with lower dose.
<10	Dose as in normal renal function. Use with caution. Start with lower dose."
aliskiren fumarate,Aliskiren,150–300 mg once daily,"20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
allopurinol,Allopurinol,"100–900 mg/day (usually 300 mg/day)
Doses above 300 mg should be given in divided doses","20–50	200–300 mg daily
10–20	100–200 mg daily
<10	100 mg daily or 100 mg on alternate days"
almotriptan,Almotriptan,"12.5 mg repeated after 2 hours if migraine recurs (do not take 2nd dose for the same attack)
Maximum 25 mg in 24 hours","30–50	Dose as in normal renal function.
10–30	6.25 mg; maximum daily dose 12.5 mg.
Use with caution.
<10	6.25 mg; maximum daily dose 12.5 mg.
Use with caution."
alogliptin,Alogliptin,25 mg daily,"30–50	12.5 mg daily.
10–30	6.25 mg daily.
<10	6.25 mg daily."
alteplase (rt-pa) (recombinant human tissue-,Alteplase,"Myocardial infarction: accelerated regimen (initiated within 6 hours) 15 mg IV bolus, 50 mg over 30 minutes, then 35 mg over 1 hour (total dose 100 mg); or (if initiated within 6–12 hours) 10 mg over 1–2 minutes followed by IV infusion of 50 mg over 1 hour, then 4 infusions each of 10 mg over 30 minutes (total dose – 100 mg over 3 hours).
Reduce dose if patient <65 kg
Pulmonary embolism: 10 mg by IV injection over 1–2 minutes, followed by an infusion of 90 mg over 2 hours. Total dose should not exceed 1.5 mg/kg in patients who weigh <65 kg.
Acute ischaemic stroke: 0.9 mg/kg over 60 minutes, 10% of dose as initial bolus; maximum 90 mg. Must start within 4.5 hours of symptoms
To unblock dialysis lines: 2 mg. See 'Other information'.","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
aluminium hydroxide,Aluminium hydroxide,"Phosphate binder: 4–20 capsules daily in divided doses
Antacid: 1 capsule 4 times daily and at bedtime","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
amantadine hydrochloride,Amantadine,"Parkinson’s disease: 100 mg once a day, increased after one week to 100–200 mg twice a day.
Post-herpetic neuralgia: 100 mg twice a day for 14 days.
Influenza A: treatment – 100 mg once a day for 4–5 days; prophylaxis – 100 mg once a day.","35–50	200 mg on first day then 100 mg every 24 hours.
15–35	200 mg on first day then 100 mg every 48 hours.
<15	200 mg every 7 days. See 'Other information'."
ambrisentan,Ambrisentan,5–10 mg once daily,"30–50	Dose as in normal renal function.
10–30	Dose as in normal renal function. Use with care.
<10	Dose as in normal renal function. Use with care."
amikacin,Amikacin,"15 mg/kg/day in 1–2 divided doses
In severe infections increased to 22.5 mg/kg/day in 3 divided doses
(Maximum dose: 1.5 g/day; maximum cumulative dose: 15 g)","20–50	5–6 mg/kg every 12 hours or as per local protocol.
10–20	3–4 mg/kg every 24 hours or as per local protocol.
<10	2 mg/kg every 24–48 hours or as per local protocol."
amiloride hydrochloride,Amiloride,5–10 mg daily; maximum 20 mg daily,"20–50	Use 50% of dose.
10–20	Use 50% of dose.
<10	Avoid."
aminophylline,Aminophylline,"Modified release: 225–450 mg twice daily
IV loading dose: 5 mg/kg (250–500 mg)
Maintenance dose: 0.5–0.7 mg/kg/hour adjusted according to levels","20–50	Dose as in normal renal function and adjust in accordance with blood levels.
10–20	Dose as in normal renal function and adjust in accordance with blood levels.
<10	Dose as in normal renal function and adjust in accordance with blood levels."
amiodarone hydrochloride,Amiodarone,"Oral: 200 mg 3 times a day for 1 week, then twice a day for 1 week, then 200 mg daily maintenance dose or minimum required to control arrhythmia
IV: via central catheter – 5 mg/kg (maximum 1.2 g in 24 hours)
Ventricular arrhythmias or pulseless ventricular tachycardias: 300 mg over at least 3 minutes","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
amisulpride,Amisulpride,50–1200 mg daily (in divided doses if >300 mg); varies according to indication,"30–60	Reduce dose by 50%.
10–30	Use a third of the dose. See 'Other information'.
<10	Use with caution. Start with minimum dose and increase according to patient’s response."
amitriptyline hydrochloride,Amitriptyline,10–200 mg daily depending on indication,"20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
amlodipine,Amlodipine,5–10 mg daily,"20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
amoxicillin,Amoxicillin,"250 mg – 1 g every 8 hours (maximum 6 g per day, up to 12 g in endocarditis)","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	250 mg – 1 g every 8 hours (Maximum 6 g per day in endocarditis.)"
amphotericin iv – abelcet (lipid complex),Amphotericin IV Abelcet,5 mg/kg/day for at least 14 days (see individual product data sheet),"20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
amphotericin iv – abelcet (lipid complex),Amphotericin,5 mg/kg/day for at least 14 days (see individual product data sheet),"20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
amphotericin iv – ambisome (liposomal),Amphotericin IV AmBisome,"1–3 mg/kg/day, maximum 5 mg/kg (unlicensed dose) Visceral leishmaniasis: total dose of 21–30 mg/kg given over 10–21 days","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
amphotericin iv – fungizone,Amphotericin IV Fungizone,"250 micrograms – 1.5 mg/kg/day
Can be given on alternate days if using a higher dose.","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
ampicillin,Ampicillin,"Oral: 250 mg – 1 g every 6 hours
IM / IV: 500 mg – 2 g every 4–6 hours","20–50	Dose as in normal renal function.
10–20	250 mg – 2 g every 6 hours.
<10	250 mg – 1 g every 6 hours."
anagrelide,Anagrelide,1–10 mg daily in divided doses; maximum single dose 2.5 mg; normal range 1–3 mg daily,"30–50	Dose as in normal renal function.
10–30	Dose as in normal renal function, but use with caution and keep to lowest dose possible.
<10	Dose as in normal renal function, but use with caution and keep to lowest dose possible."
anakinra,Anakinra,10 mg once daily,"30–50	10 mg every 48 hours.
10–30	10 mg every 72 hours.
<10	10 mg every 72 hours. See 'Other information'."
anastrozole,Anastrozole,1 mg daily,"20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
anidulafungin,Anidulafungin,200 mg loading dose then 100 mg daily,"20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
apixaban,Apixaban,"Surgery: 2.5 mg twice daily
AF: 2.5–5 mg twice daily (depending on weight and age)
Treatment of DVTs and PEs: 10 mg twice daily for 7 days then 5 mg twice daily
Prevention of DVTs and PEs: 2.5 mg twice daily","30–50	Dose as in normal renal function. Use with caution.
15–30	Dose as in normal renal function. Use with caution.
AF: 2.5 mg twice daily.
<15	Use with caution.
AF: 2.5 mg twice daily. See 'Other information'."
apomorphine hydrochloride,Apomorphine,"3–30 mg daily in divided doses (maximum single dose 10 mg); infusion: 1–4 mg/hour during waking hours
Maximum dose 100 mg daily","20–50	Dose as in normal renal function. Start with 1 mg.
10–20	Dose as in normal renal function. Start with 1 mg.
<10	Dose as in normal renal function. Start with 1 mg."
apremilast,Apremilast,30 mg twice daily after dose titration,"30–50	Dose as in normal renal function.
10–30	30 mg once daily.
<10	30 mg once daily."
aprepitant,Aprepitant,125 mg once daily on day 1 followed by 80 mg once daily on days 2 and 3,"20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
argatroban,Argatroban,"Anticoagulant for prophylaxis or treatment of thrombosis: Infusion of 2 mcg/kg/min; adjust according to response (APTT); maximum 10 mcg/ kg/min.
Anticoagulant for patients undergoing percutaneous coronary intervention: Initially a bolus of 350 mcg/ kg administered via a large bore IV line over 3–5 minutes, followed by an infusion of 25 mcg/kg/min. Additional IV bolus doses of 150 mcg/kg may be given if required and the infusion rate changed to 15–40 mcg/kg/min.
Haemodialysis anticoagulation: initial bolus (250 microgram/kg) followed by continuous infusion of 2 microgram/kg/min. The infusion is stopped 1 hour before the end of dialysis. The target ACT range is 170–230 seconds.","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
aripiprazole,Aripiprazole,"Oral: 10–30 mg daily.
IM: 5.25–15 mg followed by 5.25–15 mg after 2 hours, max 3 injections daily.
Deep IM: 400 mg monthly.
Combined route daily dose: 30 mg.","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
arsenic trioxide,Arsenic,"150 mcg/kg daily until remission occurs
Consolidation: 150 mcg/kg daily for 5 days per week for 25 doses spread over up to 5 weeks (to start 3–4 weeks after completion of induction)","20–50	Reduce dose. Use with caution.
10–20	Reduce dose. Use with caution.
<10	Reduce dose. Use with caution."
artemether with lumefantrine,Artemether\lumefantrine,">35 kg: 6 doses of 4 tablets, i.e. 24 tablets given over 60 hours
Give 4 tablets at 0, 8, 24, 36, 48 and 60 hours","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function. Use with caution."
ascorbic acid,Ascorbic acid,"Up to 4 g daily in divided doses
Prophylaxis: 25–75 mg daily
Therapeutic: 250 mg daily in divided doses
IV: 0.5–1 g daily
Preventative therapy: 200–500 mg daily","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
asenapine,Asenapine,5–10 mg twice daily,"20–50	Dose as in normal renal function.
15–20	Dose as in normal renal function.
<15	Dose as in normal renal function. Use with caution."
aspirin,Aspirin,100 mg once daily,"30–50	Dose as in normal renal function.
<30	100 mg on alternate days."
atazanavir,Atazanavir,300 mg once daily with ritonavir 100 mg once daily,"20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
atenolol,Atenolol,"Oral:
Hypertension: 25–50 mg daily
Angina: 100 mg daily in 1 or 2 divided doses
Arrhythmias: 50–100 mg daily
Migraine prophylaxis (unlicensed): 50–200 mg daily in divided doses.
IV:
Arrhythmias: 2.5 mg at a rate of 1 mg/min repeated at 5 minute intervals to a maximum of 10 mg
Infusion:
150 mcg/kg, repeated every 12 hours if required","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
atg (rabbit) (thymoglobuline),Thymoglobuline,"Prophylaxis:
Kidney 1–1.5 mg/kg/day for 3–9 days
Heart 1–2.5 mg/kg/day for 3–5 days
Treatment of steroid resistant graft rejection: 1.5 mg/kg/ day for 7–14 days
NB: In obese patients use ideal body-weight to avoid overdosage.","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
atorvastatin,Atorvastatin,10–80 mg daily,"20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
atovaquone,Atovaquone,750 mg twice daily for 21 days,"20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function. Use with caution."
atracurium besilate,Atracurium,"Initially: 300–600 mcg/kg, depending on duration of full block required.
Maintenance: 100–200 mcg/kg as required or IV infusion: 300–600 mcg/kg/hour
Intensive care: Initially, 300–600 mcg/kg then by infusion: 270–1770 mcg/kg/hour (usual dose: 650–780 mcg/kg/hour).
infusion: 270–1770 mcg/kg/hour (usual dose: 650–780 mcg/kg/hour).","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
avanafil,Avanafil,"50–200 mg, 30 minutes before sexual activity
Maximum 100 mg every 48 hours with concomitant CYP450 inhibitors","20–50	Dose as in normal renal function.
10–20	Reduce frequency to every 12–24 hours.
<10	Reduce frequency to every 12–24 hours."
axitinib,Axitinib,2–10 mg twice daily,"20–50	Dose as in normal renal function.
15–20	Dose as in normal renal function.
<15	Dose as in normal renal function. Use with caution."
azacitidine,Azacitidine,"75 mg/m2 daily for 7 days followed by a rest period of 21 days
Following doses may be altered depending on bone marrow toxicity","20–50	Dose as in normal renal function. See 'Other information'.
10–20	Dose as in normal renal function. See 'Other information'.
<10	Dose as in normal renal function. See 'Other information'."
azathioprine,Azathioprine,1–5 mg/kg/day,"20–50	Dose as in normal renal function.
10–20	75–100%
<10	50–100%"
azilsartan medoxomil,Azilsartan,20–80 mg once daily,"20–50	Dose as in normal renal function.
10–20	Initial dose 20 mg and increase"
azithromycin,Azithromycin,"Genital chlamydia/uncomplicated gonorrhoea infections: 1 g as single dose
All other indications: 500 mg daily for 3 days or 500 mg on day 1 followed by 250 mg daily for 4 days
Typhoid (unlicensed)/Lyme disease: 500 mg daily for 7–10 days (7 days for typhoid)","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function. See 'Other information'."
aztreonam,Aztreonam,"1 g every 8 hours or 2 g every 12 hours
Severe infections: 2 g every 6–8 hours
UTI: 0.5–1 g every 8–12 hours
Nebulised: 75 mg three times per day for 28 days","30–50	Dose as in normal renal function.
10–30	IV: 1–2 g loading dose; then maintenance of 50% of appropriate normal dose. Nebulised: Dose as in normal renal function.
<10	IV: 1–2 g loading dose; then maintenance of 25% of appropriate normal dose. Nebulised: Dose as in normal renal function."
baclofen,Baclofen,"Oral:
5 mg, 3 times a day; increase dose gradually up to 100 mg/day
Intrathecal:
12 micrograms – 2 mg daily for spasticity of spinal origin
22 micrograms – 1.4 mg for spasticity of cerebral origin.","20–50	5 mg 3 times a day and titrate according to response.
10–20	5 mg twice a day and titrate according to response.
<10	5 mg once a day and titrate according to response."
balsalazide sodium,Balsalazide,"Acute treatment: 2.25 g, 3 times a day
Maintenance: 1.5 g twice daily, maximum 6 g/day","20–50	Dose as in normal renal function.
10–20	Use with caution and only if necessary.
<10	Start with low doses and monitor closely."
baricitinib,Baricitinib,2–4 mg once daily,"30–60	2 mg once daily.
<30	Avoid."
basiliximab,Basiliximab,20 mg 2 hours before transplant and 20 mg 4 days after transplant,"20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
bedaquiline fumarate,Bedaquiline,400 mg once daily for 2 weeks then 200 mg 3 times a week,"30–50	Dose as in normal renal function.
10–30	Dose as in normal renal function. Use with caution.
<10	Dose as in normal renal function. Use with caution."
belatacept,Belatacept,"10 mg/kg
Reduces to 5 mg/kg once in maintenance phase","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
belimumab,Belimumab,10 mg/kg repeated 2 and 4 weeks after initial infusion then every 4 weeks,"30–50	Dose as in normal renal function.
10–30	Dose as in normal renal function. Use with caution.
<10	Dose as in normal renal function. Use with caution."
bendamustine hydrochloride,Bendamustine,"CLL: 100 mg/m2 on days 1 and 2 every 4 weeks
NHL: 120 mg/m2 on days 1 and 2 every 3 weeks
Multiple myeloma: 120–150 mg/m2 on days 1 and 2 every 4 weeks
Or according to local protocol","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function. Use with caution."
bendroflumethiazide,Bendroflumethiazide,"Oedema: 5–10 mg in the morning or alternate days
Maintenance: 5–10 mg, 1–3 times weekly
Hypertension: 2.5 mg daily","30–50	Dose as in normal renal function.
10–30	Dose as in normal renal function.
<10	Unlikely to work."
benzbromarone (unlicensed product),Benzbromarone,"50–200 mg daily
(Usual dose 50–100 mg daily)","40–60	50–200 mg daily.
20–40	50–100 mg daily.1
<20	Avoid. Ineffective."
benzylpenicillin,Benzylpenicillin,2.4–14.4 g daily in 4–6 divided doses,"20–50	Dose as in normal renal function.
10–20	600 mg – 2.4 g every 6 hours depending on severity of infection.
<10	600 mg – 1.2 g every 6 hours depending on severity of infection."
betahistine dihydrochloride,Betahistine,8–16 mg 3 times a day,"20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	8–16 mg 2–3 times a day."
betamethasone,Betamethasone,"Oral: 0.5–5 mg daily
Injection: 4–20 mg repeated up to 4 times in 24 hours","20–50	Dose as in normal renal function.
10–20	Dose as in normal renal function.
<10	Dose as in normal renal function."
