virkestoff,atckode,varenavn
,,pro-ven daglig pluss lab4 melkesyrebakt
,,nordaid d-spray 75 oral vitamin d
,,immunloges
,,brizo soyaekstrakt for menn
,,bio-life oregano-olje
,,nycoplus høy omega-3 500
,,kyolic aged garlic extract original
,,nycoplus vegansk d3-vit
,,zinkoral
,,nature's sunshine fenu-max
,,metode multi vita&min md
,,nycoplus selen m/e-vitamin
,,solaray spektro multi u/jern&k
,,nordaid d-spray 10 oral vitamin d
,,nordaid d-spray 40 oral vitamin d
,,vidi pluss folsyre
,,femarelle rejuvenate
,,gevita kalsium&magnesium&vitd
,,nycoplus b12-vitamin
,,bio-folin
,,biocare liquid methyl b complex
,,orion melatonin+magnesium
,,priorin
,,pro-ven daglig&enzymer lab4 melkesyrebak
,,joy by vitaplex vit-c
,,shift vegansk omega-3
,,nycodent frisk pust
,,nordaid liposomal vitamin c
,,pro-ven shapeline lab4p melkesyrebakt
,,omnikrill
,,minami mordha original
,,metode vitamin c blodappelsin
,,nordaid jern
,,nycoplus vegetabilsk omega-3 fra alger
,,vidi pluss kalsium m/d-vit
,,bio-chrom chromoprecise
,,metode tigervit jord/app/trop
,,vegamin c-vitamin appelsin
,,triomar ledd
,,nycoplus apotekets tran
,,nycoplus jerndråper
,,nogasin go
,,metode vitamin b kompleks
,,nycopro laktase
,,lifeline care øye
,,link
,,berit omega 3-mct+vit d
,,nycoplus b-kompleks ekstra sterk
,,shift naturlig c
,,a. vogel avena sativa
,,shift magnesium
,,supravit melatonina fast
,,vidi pluss vitamin b kompl
,,zooca original calanus oil omega-3
,,beauty bear tan vegan vitamins
,,new nordic hair volume
,,metode multi vita&min
,,sana pharma melatonin spray
,,tranebær
,,resorb original bringebær
,,pro-ven fit for school lab4 melkesyrebak
,,bio-life b-kompleks
,,joy by vitaplex vit-d3
,,metode folsyre&jod gravid
,,bio-calcium +d3+k-vitamin
,,nycoplus multi uten a&d&k-vitamin
,,nycopro feriemage
,,bio-life magnesium
,,nordaid d-spray 15 oral vitamin d
,,seagarden marint kollagen +vit c sitron
,,gevita kalsium
,,lifeline care junior
,,ester-c
,,bio-selen +sink
,,gevita blåbær
,,bio-sport
,,floradix barne vitamin fruktsm
,,sana pharma melatonin natt
,,vidi dental fluor
,,gevita hvitløk
,,astaxin m/vit c&e immunforsvar
,,vidi pluss vit c sitron
,,mbrace god natt
,,blueiron vegansk jern
,,epa-gla+
,,møllers pharma veg omega3+vitd
,,sana-sol
,,membrasin
,,resorb sport
,,new nordic skin care collagen filler
,,gascolduo mot mage-/luftsmerter
,,shift sink
,,gluten go
,,frukt & fiber
,,gevita sink&vitamin c
,,lactiplus travel
,,møllers pharma tran
,,betakaroten gold
,,gevita ingefær
,,bio-silica+msm
,,vidi pluss vit c appelsin
,,femarelle recharge
,,nycoplus magnesium + calcium
,,a. vogel prostasan
,,metode vitamin c & sink skogsbær
,,dråpe vegansk b12
,,minami morepa original
,,pro-ven daglig&tranebær lab4 melkesyrbak
,,joy sleep melatonin vit c&d3
,,nycopro reise
,,nycoplus gelatinfri omega-3
,,sideral
,,vitaminbjørner eple&pære
,,sana pharma melatonin
,,pro-ven daglig lab4 melkesyrebakterier
,,seagarden marint kollagen sitron
,,vitaminbjørner skogsbær&limonade
,,seleno q10
,,complete multi kvinne
,,dråpe vegansk betakaroten
,,complete bra omega-3 & multivitaminer
,,floradix formula jernekstrakt
,,dråpe vegansk d3 sitron
,,pharma nord multivitamin
,,hemofer jerntilskud
,,seagarden marint kollagen +vit c jordbær
,,beauty bear hair vegan vitamins
,,femarelle unstoppable kaps
,,bio-qinon q10 gold
,,shift melatonin
,,bio-vitamin-c
,,metode vit biotin
,,metode magnesium
,,nycoplus calcium
,,berit pharma omega-3
,,møllers pharma høy omega3+vitd
,,minami morepa move
,,shift magnesiumdråper
,,vitaminbjørner kalsium+d-vit
,,metode vitamin b kompleks md
,,gevita vitamin d3&c
,,lecithin
,,nycoplus multi barn
,,lactiplus forte
,,nycoplus b-kompleks
,,lactrase go
,,nycoplus calcium 500mg jordbær
,,lactiplus immuno
,,ferrochel aminojern
,,good sleep melatonin
,,nycoplus e-vitamin
,,joy by vitaplex multi
,,kyolic aged garlic extract +q10
,,idoform classic plus
,,retisan
,,asonor sov godt
,,lifeline care god søvn melatonin
,,minami plushinzo-3
,,idoform
,,nycoplus c-vit+ingefær+d3
,,bio-life bio-dophilus
,,metode betakaro sink&kobb
,,møllers pharma omega-3 multi
,,nycopro daglig kalsium+vitd
,,kyolic aged garlic extract
,,husk naturlig fiber
,,d-pearls d-vitamin
,,complete dvergpalme
,,nordaid b-complex
,,bio-life b12
,,kyolic age flytende ekstrakt
,,multienzyme go
,,bioactive b12
,,vitaminbjørner jungel
,,new nordic active liver
,,complete bra ingefær
,,dråpe vegansk melatonin peppermynte
,,vitaminbjørner vitamin-d jordbær
,,nycoplus calcium m/d-vitamin
,,labinic drops suppl babies&infants
,,seagarden marint kollagen +vit c
,,nycoplus vegansk d3 vit
,,ocuvite complete
,,nbg 24:7
,,vidi pluss magnesium
,,bio-life vitamin e
,,nordmea blåbær
,,gevita rosenrot
,,nycoplus jod
,,lifeline care junior kalsium
,,biosym omni q10 energy
,,gerimax daglig energi
,,møllers pharma ledd
,,resource thicken up clear
,,lactiplus mage
,,zerochol
,,apotek 1 d3-vitamin
,,shift jod
,,a. vogel echinaforce
,,nycoplus sink
,,unikalk basic
,,resource aktiva
,,romega ekstrakt fra silderogn
,,gevita ester-c
,,alflorex
,,nycoplus k2-vitamin
,,betulac laktulose
,,new nordic melissa dream
,,sambucol original
,,gevita krom
,,gevita hemofer
,,nycodent fluorix m/d3-vit
,,bio-magnesium
,,complete bra tranebær
,,nycoplus multi vitamin
,,metode kalsium m/vit k&d3
,,complete multi mann
,,møllers pharma anti-oppstøt
,,nycoplus c-vitamin med tranebær
,,dråpe vegansk jern
,,nycoplus d3-vitamin sitron
,,seagarden rent marint kollagen
,,metode vitamin c
,,new nordic blue berry plus øyevitamin
fordøyelsesorganer og stoffskifte,A,digestodoron weleda
fordøyelsesorganer og stoffskifte,A,candibactin-br
fordøyelsesorganer og stoffskifte,A,berberine-500 thorne
fordøyelsesorganer og stoffskifte,A,chelidonium comp weleda
fordøyelsesorganer og stoffskifte,A,candibactin-ar
fordøyelsesorganer og stoffskifte,A,choleodoron weleda
munn- og tannmidler,A01A,ledermix
midler mot karies,A01AA,fluor protector
natriumfluorid,A01AA01,flux
natriumfluorid,A01AA01,duraphat
natriumfluorid,A01AA01,natriumfluorid morningside
natriumfluorid,A01AA01,sensodyne proschmelz fluorid
hydrogenperoksid,A01AB02,hydrogenperoksid naf
klorheksidin,A01AB03,corsodyl
klorheksidin,A01AB03,chlorhexamed forte
klorheksidin,A01AB03,klorheksidindiglukonat sa
amfotericin b,A01AB04,ampho-moronal
mikonazol,A01AB09,daktar
diverse,A01AB11,nystatin-klorheksidin sa
diverse,A01AB11,natriumhypokloritt sa
diverse,A01AB11,myrratinktur naf
diverse,A01AB11,na hypokloritt sa
kortikosteroider til lokal behandling i munnen,A01AC,clobetasol glostrup
kortikosteroider til lokal behandling i munnen,A01AC,klobetasol apl
triamcinolon,A01AC01,volon a
triamcinolon,A01AC01,kenacort a orabase
hydrokortison,A01AC03,hydrokortison sa
adrenalin,A01AD01,gingi-pak soft twist max tynn 10105m
adrenalin,A01AD01,gingi-pak z-twist tykk 10173
adrenalin,A01AD01,gingi-pak original cord max 2-ply 10120m
adrenalin,A01AD01,gingi-pak soft twist max tykk 10115m
adrenalin,A01AD01,gingi-pak soft twist max medi 10110m
adrenalin,A01AD01,gingi-pak z-twist max tynn 10171m
adrenalin,A01AD01,gingi-pak z-twist max medium 10172m
adrenalin,A01AD01,gingi-pak z-twist tynn 10171
adrenalin,A01AD01,gingi-pak z-twist max tykk 10173m
adrenalin,A01AD01,gingi-pak original cord 2-ply 10120
adrenalin,A01AD01,gingi-pak z-twist medium 10172
benzydamin,A01AD02,odan-benzydamine
benzydamin,A01AD02,andolex
diverse,A01AD11,glyserol sa
diverse,A01AD11,edta sa
diverse,A01AD11,dentinox naf
antacida,A02A,cytra-k crystals
antacida,A02A,natriumsitrat sa
magnesiumhydroksid,A02AA04,magnesia dak
algeldrat,A02AB02,alu-cap
kalsiumkarbonat,A02AC01,titralac
ordinære saltkombinasjoner,A02AD01,novaluzid
antacida med natriumhydrogenkarbonat,A02AH,alkala t
antacida med natriumhydrogenkarbonat,A02AH,natriumhydrogenkarbonat sa
antacida med natriumhydrogenkarbonat,A02AH,natron naf
antacida med natriumhydrogenkarbonat,A02AH,natriumbikarbonat recip
cimetidin,A02BA01,cimetidine aa pharma
cimetidin,A02BA01,cimetidine mylan
cimetidin,A02BA01,cimetidine cf
cimetidin,A02BA01,cimetidin acis
cimetidin,A02BA01,cimetidin
cimetidin,A02BA01,cimetidine accord
ranitidin,A02BA02,ranitidine
ranitidin,A02BA02,zantac
ranitidin,A02BA02,ranitidine rosemont
ranitidin,A02BA02,ranitidin
famotidin,A02BA03,famotidine west-ward
famotidin,A02BA03,famogast
famotidin,A02BA03,famotidin sa
famotidin,A02BA03,famotidin genericon
famotidin,A02BA03,famotidin stada
famotidin,A02BA03,famotidin-ratiopharm
famotidin,A02BA03,pepcid
"famotidin, kombinasjoner",A02BA53,pepcidduo
misoprostol,A02BB01,cytotec
omeprazol,A02BC01,losec mups
omeprazol,A02BC01,pedippi
omeprazol,A02BC01,losec
omeprazol,A02BC01,losec mups
omeprazol,A02BC01,omeprazol pensa
omeprazol,A02BC01,omeprazole genoptim
omeprazol,A02BC01,omeprazol-ratiopharm nt
pantoprazol,A02BC02,pantoprazol pensa
pantoprazol,A02BC02,pantoprazol krka
pantoprazol,A02BC02,somac control
pantoprazol,A02BC02,pantoprazol sun
pantoprazol,A02BC02,pantoprazol oresund pharma
pantoprazol,A02BC02,somac
pantoprazol,A02BC02,pantoprazolo sun
pantoprazol,A02BC02,pantoprazol actavis
lansoprazol,A02BC03,lansoprazol krka
lansoprazol,A02BC03,lansoprazol pensa
lansoprazol,A02BC03,lansoprazol medical valley
lansoprazol,A02BC03,lanzo melt
esomeprazol,A02BC05,nexium
esomeprazol,A02BC05,esomeprazol pensa
esomeprazol,A02BC05,esomeprazol krka
esomeprazol,A02BC05,esomeprazole accord
sukralfat,A02BX02,antepsin
sukralfat,A02BX02,sucralan
vismut subnitrat,A02BX12,vismutsubnitrat sa
alginsyre,A02BX13,gaviscon
alginsyre,A02BX13,gaviscon infant
alginsyre,A02BX13,galieve
alginsyre,A02BX13,galieve forte
mebeverin,A03AA04,duspatalin retard
mebeverin,A03AA04,duspatal
trimebutin,A03AA05,debridat
glykopyrroniumbromid,A03AB02,rybrila
glykopyrroniumbromid,A03AB02,glycopyrronium bromide martindale
glykopyrroniumbromid,A03AB02,sialanar
glykopyrroniumbromid,A03AB02,robinul
propantelin,A03AB05,ercoril
papaverin,A03AD01,papaverine
papaverin,A03AD01,papaverin
papaverin,A03AD01,paveron n
papaverin,A03AD01,papaverine hcl orifarm
silikonforbindelser,A03AX13,imogas
silikonforbindelser,A03AX13,minifom
peppermynteolje,A03AX15,colpermin
atropin,A03BA01,atropin naf
atropin,A03BA01,atropinum sulfuricum eifelfango
atropin,A03BA01,atropin
atropin,A03BA01,atropin aguettant
hyoscyamin,A03BA03,hyoscyamine sulfate county line
hyoscyamin,A03BA03,hyoscyamine sulfate alvogen
butylskopolamin,A03BB01,buscopan
butylskopolamin,A03BB01,bumacor
klidin og psykoleptika,A03CA02,librax
metoklopramid,A03FA01,afipran
metoklopramid,A03FA01,mcp ratiopharm
metoklopramid,A03FA01,primperan
metoklopramid,A03FA01,metoclopramide orifarm
metoklopramid,A03FA01,metoclopramide accord
domperidon,A03FA03,motilium esteve
domperidon,A03FA03,domperidon hexal
domperidon,A03FA03,motilium
domperidon,A03FA03,domperidone zentiva
domperidon,A03FA03,domperidon stada
domperidon,A03FA03,cinet
alisaprid,A03FA05,litican
itoprid,A03FA07,kinito
ondansetron,A04AA01,ondansetron kalceks
ondansetron,A04AA01,ondansetron trans
ondansetron,A04AA01,ondansetron bluefish
ondansetron,A04AA01,ondansetron crescent
ondansetron,A04AA01,zofran
ondansetron,A04AA01,ondansetron syri pharma
ondansetron,A04AA01,ondansetron fresenius kabi
ondansetron,A04AA01,ondansetron lannett
ondansetron,A04AA01,ondansetron focus care
ondansetron,A04AA01,ondansetron hameln
ondansetron,A04AA01,ondansetron accord
ondansetron,A04AA01,ondansetron bluefish
granisetron,A04AA02,sancuso
granisetron,A04AA02,granisetron hameln
granisetron,A04AA02,granisetron-ratiopharm
tropisetron,A04AA03,navoban
palonosetron,A04AA05,palonosetron accord
palonosetron,A04AA05,aloxi
palonosetron,A04AA05,palonosetron fresenius kabi
"palonosetron, kombinasjoner",A04AA55,akynzeo
skopolamin,A04AD01,scopoderm
dronabinol,A04AD10,dronabinol ascend
dronabinol,A04AD10,dronabinol glostrup
dronabinol,A04AD10,marinol
aprepitant,A04AD12,emend
aprepitant,A04AD12,ivemend
aprepitant,A04AD12,aprepitant sa
kenodeoksykolsyre,A05AA01,chenodeoxycholic acid leadiant
ursodeoksykolsyre,A05AA02,ursochol
ursodeoksykolsyre,A05AA02,ursofalk
ursodeoksykolsyre,A05AA02,ursodeoxycholic acid orion
obetikolsyre,A05AA04,ocaliva
ursodoksikoltaurin,A05AA05,tauro
silymarin,A05BA03,legalon sil
flytende parafin,A06AA01,parafinemulsjon naf
flytende parafin,A06AA01,flytende parafin naf
bisakodyl,A06AB02,dulcolax
bisakodyl,A06AB02,toilax kombinasjonspakning
bisakodyl,A06AB02,toilax
sennaglykosider,A06AB06,pursennid
natriumpikosulfat,A06AB08,laxoberal
"natriumpikosulfat, kombinasjoner",A06AB58,picoprep
"natriumpikosulfat, kombinasjoner",A06AB58,citrafleet
ispaghula (loppefrø),A06AC01,vi-siblin
laktulose,A06AD11,laktulose mip pharma
laktulose,A06AD11,levolac
laktulose,A06AD11,duphalac
laktitol,A06AD12,importal
natriumsulfat,A06AD13,natriumsulfatdekahydrat sa
makrogol,A06AD15,bellymed
makrogol,A06AD15,forlax
makrogol,A06AD15,macrogol 4000 caelo
natriumfosfat,A06AD17,phosphoral
"makrogol, kombinasjoner",A06AD65,movicol junior
"makrogol, kombinasjoner",A06AD65,moxalole
"makrogol, kombinasjoner",A06AD65,movicol
"makrogol, kombinasjoner",A06AD65,laxabon
"makrogol, kombinasjoner",A06AD65,plenvu
bisakodyl,A06AG02,toilax
bisakodyl,A06AG02,toilax kombinasjonspakning
glyserol,A06AG04,olje-glyserol naf
olje,A06AG06,oljeklyster sa
"dokusatnatrium, inkl. kombinasjoner",A06AG10,klyx
"natriumlaurylsulfoacetat, inkl. kombinasjoner",A06AG11,microlax
metylnaltreksonbromid,A06AH01,relistor
naloksegol,A06AH03,moventig
glyserol,A06AX01,glycilax adultos
glyserol,A06AX01,glycerin lcm
glyserol,A06AX01,glycerol ethypharm
linaklotid,A06AX04,constella
prukaloprid,A06AX05,resolor
"antidiarroika, tarmantiseptika og antiinflammatoriske midler",A07,mutaflor mite
"antidiarroika, tarmantiseptika og antiinflammatoriske midler",A07,mutaflor
neomycin,A07AA01,neomycin amdipharm
nystatin,A07AA02,nystatin orifarm
nystatin,A07AA02,nystatin kragerø
nystatin,A07AA02,nystimex
nystatin,A07AA02,mycostatin
nystatin,A07AA02,nystatin stada
paromomycin,A07AA06,humatin
paromomycin,A07AA06,gabbroral
vankomycin,A07AA09,vancomycin strides
vankomycin,A07AA09,vancomycin
rifaksimin,A07AA11,rifaximin aurora medical
rifaksimin,A07AA11,xifaxan
rifaksimin,A07AA11,normix
fidaksomicin,A07AA12,dificlir
rifamycin,A07AA13,relafalk
medisinsk kull,A07BA01,kohle-compretten
medisinsk kull,A07BA01,norit carbomix
medisinsk kull,A07BA01,kull abigo
medisinsk kull,A07BA01,actidose-aqua
medisinsk kull,A07BA01,carbomix abboxia
medisinsk kull,A07BA01,carbomix
medisinsk kull,A07BA01,kohle-hevert
vismutmidler,A07BB,pepto bismol
vismutmidler,A07BB,bismuth subsalicylate major
elektrolytter med karbohydrater,A07CA,dioralyte natural
elektrolytter med karbohydrater,A07CA,gem
opium,A07DA02,dropizol
loperamid,A07DA03,imodium a-d
loperamid,A07DA03,imodium n
loperamid,A07DA03,imodium
loperamid,A07DA03,imolopera
loperamid,A07DA03,salvacolina
loperamid,A07DA03,loperamid mylan
loperamid,A07DA03,loperamid norfri
"loperamid, kombinasjoner",A07DA53,imodium comp
prednisolon,A07EA01,prednisolon unimedic
hydrokortison,A07EA02,colifoam
hydrokortison,A07EA02,cortenema
budesonid,A07EA06,budenofalk
budesonid,A07EA06,jorveza
budesonid,A07EA06,budesonid medical valley
budesonid,A07EA06,entocort
budesonid,A07EA06,cortiment
natriumkromoglikat,A07EB01,cromolyn rising
natriumkromoglikat,A07EB01,nalcrom
natriumkromoglikat,A07EB01,pentatop
natriumkromoglikat,A07EB01,lomudal gi
sulfasalazin,A07EC01,salazopyrin en-tabs
sulfasalazin,A07EC01,salazopyrine
sulfasalazin,A07EC01,salazopyrin en
sulfasalazin,A07EC01,sulfasalazine rosemont
sulfasalazin,A07EC01,salazopyrine ec
sulfasalazin,A07EC01,salazopyrin
sulfasalazin,A07EC01,sulfasalazine-ec
mesalazin,A07EC02,pentasa sachet
mesalazin,A07EC02,salofalk
mesalazin,A07EC02,mesalazin orion
mesalazin,A07EC02,asacol
mesalazin,A07EC02,pentasa
mesalazin,A07EC02,mezavant
olsalazin,A07EC03,dipentum
balsalazid,A07EC04,colazid
melkesyreproduserende organismer,A07FA01,vsl#3
saccharomyces boulardii,A07FA02,precosa
saccharomyces boulardii,A07FA02,perenterol forte
bupropion og naltrekson,A08AA62,mysimba
orlistat,A08AB01,xenical
enzymmidler,A09AA,daosin
"multienzymer (lipase, protease etc.)",A09AA02,kreon fur kinder pellets
"multienzymer (lipase, protease etc.)",A09AA02,pertzye
"multienzymer (lipase, protease etc.)",A09AA02,creon 10000
"multienzymer (lipase, protease etc.)",A09AA02,creon 25000
"multienzymer (lipase, protease etc.)",A09AA02,pancrex v
"multienzymer (lipase, protease etc.)",A09AA02,creon 35000
glutaminsyrehydroklorid,A09AB01,aciglumin naf
betainhydroklorid,A09AB02,betaine douglas
saltsyre,A09AB03,fortynnet saltsyre naf
enzymmidler i kombinasjon med syremidler,A09AC,super enzymes now
pepsin og syremidler,A09AC01,betaine plus douglas
"insulin, human",A10AB01,actrapid penfill
"insulin, human",A10AB01,insuman infusat
"insulin, human",A10AB01,humulin r
insulin lispro,A10AB04,insulin lispro sanofi
insulin lispro,A10AB04,insulin lispro sa
insulin lispro,A10AB04,lyumjev
insulin lispro,A10AB04,humalog kwikpen
insulin lispro,A10AB04,humalog junior kwikpen
insulin lispro,A10AB04,humalog
insulin aspart,A10AB05,insulin aspart sa
insulin aspart,A10AB05,insulin aspart sanofi
insulin aspart,A10AB05,fiasp
insulin aspart,A10AB05,novorapid penfill
insulin aspart,A10AB05,novorapid pumpcart
insulin aspart,A10AB05,novorapid
insulin aspart,A10AB05,novorapid flexpen
insulin glulisin,A10AB06,apidra
insulin glulisin,A10AB06,insulin glulisin sa
"insulin, human",A10AC01,insulatard innolet
"insulin, human",A10AC01,insuman basal
"insulin, human",A10AC01,insulatard flexpen
"insulin, human",A10AC01,humulin nph kwikpen
"insulin, human",A10AC01,insulatard penfill
"insulin, human",A10AC01,humulin nph
insulin lispro,A10AD04,humalog mix25
insulin lispro,A10AD04,humalog mix25 kwikpen
insulin aspart,A10AD05,novomix 30 flexpen 100 e/ml
insulin aspart,A10AD05,novomix 30 penfill 100 e/ml
insulin glargin,A10AE04,toujeo
insulin glargin,A10AE04,semglee
insulin glargin,A10AE04,lantus
insulin glargin,A10AE04,abasaglar
insulin detemir,A10AE05,levemir
insulin degludec,A10AE06,tresiba
insulin glargin og liksisenatid,A10AE54,suliqua
insulin degludec og liraglutid,A10AE56,xultophy
"insulin, human",A10AF01,afrezza
metformin,A10BA02,metformin actavis
metformin,A10BA02,metformin orifarm
metformin,A10BA02,metformin medical valley
metformin,A10BA02,glucophage
metformin,A10BA02,metformin sandoz
metformin,A10BA02,metformin
metformin,A10BA02,metformin orifarm
glibenklamid,A10BB01,glibenclamid abz
glibenklamid,A10BB01,glibenclamid ratiopharm
glimepirid,A10BB12,glimepirid teva
glimepirid,A10BB12,amaryl
metformin og pioglitazon,A10BD05,competact
metformin og sitagliptin,A10BD07,sitagliptin/metformin krka
metformin og sitagliptin,A10BD07,sitagliptin/metformin medical valley
metformin og sitagliptin,A10BD07,sitagliptin/metformin sandoz
metformin og sitagliptin,A10BD07,janumet
metformin og sitagliptin,A10BD07,sitagliptin/metformin glenmark
metformin og vildagliptin,A10BD08,vildagliptin/metformin hydrochloride accord
metformin og vildagliptin,A10BD08,eucreas
metformin og vildagliptin,A10BD08,vildagliptin/metformin sandoz
metformin og vildagliptin,A10BD08,vildagliptin/metformin krka
metformin og saksagliptin,A10BD10,komboglyze
metformin og linagliptin,A10BD11,jentadueto
metformin og dapagliflozin,A10BD15,xigduo
linagliptin og empagliflozin,A10BD19,glyxambi
metformin og empagliflozin,A10BD20,synjardy
saksagliptin og dapagliflozin,A10BD21,qtern
sitagliptin og ertugliflozin,A10BD24,steglujan
akarbose,A10BF01,acarbose al
akarbose,A10BF01,glucobay
pioglitazon,A10BG03,actos
pioglitazon,A10BG03,pioglitazone accord
sitagliptin,A10BH01,januvia
sitagliptin,A10BH01,sitagliptin hexal
sitagliptin,A10BH01,sitagliptin accord
sitagliptin,A10BH01,sitagliptin glenmark
sitagliptin,A10BH01,sitagliptin krka
sitagliptin,A10BH01,sitagliptin sandoz
vildagliptin,A10BH02,vildagliptin krka
vildagliptin,A10BH02,vildagliptin accord
vildagliptin,A10BH02,galvus
saksagliptin,A10BH03,onglyza
linagliptin,A10BH05,trajenta
eksenatid,A10BJ01,bydureon
eksenatid,A10BJ01,byetta
liraglutid,A10BJ02,victoza
liraglutid,A10BJ02,saxenda
dulaglutid,A10BJ05,trulicity
semaglutid,A10BJ06,ozempic
semaglutid,A10BJ06,wegovy
semaglutid,A10BJ06,rybelsus
dapagliflozin,A10BK01,forxiga
kanagliflozin,A10BK02,invokana
empagliflozin,A10BK03,jardiance
ertugliflozin,A10BK04,steglatro
repaglinid,A10BX02,repaglinide accord
repaglinid,A10BX02,novonorm
vitaminer,A11,auralife
vitaminer,A11,liposomal vitamin c
multivitaminer og andre mineraler inkl. kombinasjoner,A11AA03,dekas plus
multivitaminer og andre mineraler inkl. kombinasjoner,A11AA03,dekas essential
"multivitaminer, usammensatte",A11BA,multivitamindroppar unimedic
retinol (vit a),A11CA01,vitamin a carlson
betakaroten,A11CA02,carotaben
betakaroten,A11CA02,carotin
ergokalsiferol,A11CC01,sterogyl
ergokalsiferol,A11CC01,ergocalciferol rph
alfakalsidol,A11CC03,etalpha
alfakalsidol,A11CC03,einsalpha
kalsitriol,A11CC04,rocaltrol
kolekalsiferol,A11CC05,vitamin d3 streuli
kolekalsiferol,A11CC05,benferol
kolekalsiferol,A11CC05,detremin
kolekalsiferol,A11CC05,vigantol
kolekalsiferol,A11CC05,d-cure
kolekalsiferol,A11CC05,divisun
kolekalsiferol,A11CC05,vitamin d3 douglas
kolekalsiferol,A11CC05,d3-vicotrat unimedic
kolekalsiferol,A11CC05,nycoplus d3-vitamin
kolekalsiferol,A11CC05,d3-vicotrat
kolekalsiferol,A11CC05,fultium
kolekalsiferol,A11CC05,d3-50
kolekalsiferol,A11CC05,colecalciferol eql pharma
kolekalsiferol,A11CC05,divifarm
kolekalsiferol,A11CC05,dekristol
kolekalsiferol,A11CC05,vitamin d3 carlson
tiamin (vit b1),A11DA01,tiamin sa
tiamin (vit b1),A11DA01,thiamine sterop
tiamin (vit b1),A11DA01,benerva
tiamin (vit b1),A11DA01,vitamin b1-injektopas
tiamin (vit b1),A11DA01,vitamin b1-hevert
tiamin (vit b1),A11DA01,benerva euromedica
tiamin (vit b1),A11DA01,benerva orifarm
tiamin (vit b1),A11DA01,vitamin b1-hevert campus
tiamin (vit b1),A11DA01,tiamin kragerø
tiamin (vit b1),A11DA01,tiamin naf
tiamin (vit b1),A11DA01,vitamin b1 frostpharma
vitamin b1 i kombinasjoner med vitamin b6 og/eller vitamin b12,A11DB,neurobion
"vitamin b-kompleks, usammensatte",A11EA,multivit-b
"vitamin b-kompleks, usammensatte",A11EA,vitamin b-100 complex lamberts
"vitamin b-kompleks, usammensatte",A11EA,tri-b-100
"vitamin b-kompleks, usammensatte",A11EA,apovit b-combin stærk
"vitamin b-kompleks, usammensatte",A11EA,triobe
"vitamin b-kompleks, usammensatte",A11EA,multivit-b forte
"vitamin b-kompleks, usammensatte",A11EA,becozyme
vitamin b-kompleks med vitamin c,A11EB,pabrinex im high potency
vitamin b-kompleks med vitamin c,A11EB,pabrinex iv high potency
vitamin b-kompleks med vitamin c,A11EB,berocca
"vitamin b-kompleks, andre kombinasjoner",A11EX,ketovite
"vitamin b-kompleks, andre kombinasjoner",A11EX,renavit
askorbinsyre (vit c),A11GA01,vitamin c mylan
askorbinsyre (vit c),A11GA01,vitamin c-loges nordic prime
askorbinsyre (vit c),A11GA01,pascorbin
askorbinsyre (vit c),A11GA01,bio-c-vitamin
askorbinsyre (vit c),A11GA01,vitamin c pascoe
askorbinsyre (vit c),A11GA01,vitamin c 500
nikotinamid,A11HA01,nicobion
nikotinamid,A11HA01,niacinamide douglas
nikotinamid,A11HA01,nikotinamid naf
pyridoksin (vit b6),A11HA02,pyridoksin naf
pyridoksin (vit b6),A11HA02,vitamin b-6 liquid carlson
pyridoksin (vit b6),A11HA02,b-6 douglas
