,ICD_code,diagnosis
299,A699,Uspesifisert spiroketinfeksjon
300,A70,Chlamydia psittaci-infeksjon
301,A710,Tidlig stadium av trakom
302,A711,Aktivt stadium av trakom
303,A719,Uspesifisert trakom
304,A740,Klamydiakonjunktivitt
305,A748,Annen spesifisert klamydiasykdom
306,A749,Uspesifisert klamydiainfeksjon
307,A750,"Epidemisk flekktyfus som skyldes Rickettsia prowazekii, overført ved lus"
308,A751,Flekktyfus med gjenoppblussing
309,A752,Flekktyfus som skyldes Rickettsia typhi
310,A753,Flekktyfus som skyldes Rickettsia tsutsugamushi
311,A759,Uspesifisert flekktyfus
312,A770,Flekkfeber som skyldes Rickettsia rickettsii
313,A771,Flekkfeber som skyldes Rickettsia conorii
314,A772,Flekkfeber som skyldes Rickettsia siberica
315,A773,Flekkfeber som skyldes Rickettsia australis
316,A778,Annen spesifisert flekkfeber
317,A779,Uspesifisert flekkfeber
318,A78,Q-feber
319,A790,Skyttergravsfeber
320,A791,Rickettsiainfeksjon som skyldes Rickettsia akarii
321,A798,Annen spesifisert rickettsiose
322,A799,Uspesifisert rickettsiose
323,A800,"Akutt poliomyelitt med lammelse, forårsaket av vaksine"
324,A801,"Akutt poliomyelitt med lammelse, forårsaket av importert vill virusstamme"
325,A802,"Akutt poliomyelitt med lammelse, forårsaket av ikke-importert vill virusstamme"
326,A803,Annen eller uspesifisert akutt poliomyelitt med lammelse
327,A804,Akutt poliomyelitt uten lammelse
328,A809,Uspesifisert akutt poliomyelitt
329,A810,Creutzfeldt-Jakobs sykdom
330,A811,Subakutt skleroserende panencefalitt
331,A812,Progressiv multifokal leukoencefalopati
332,A818,Annen spesifisert atypisk virusinfeksjon i sentralnervesystemet
333,A819,Uspesifisert atypisk virusinfeksjon i sentralnervesystemet
334,A820,Sylvatisk rabies
335,A821,Urban rabies
336,A829,Uspesifisert rabies
337,A830,Japansk encefalitt
338,A831,Vestlig heste-encefalitt
339,A832,Østlig heste-encefalitt
340,A833,St Louis-encefalitt
341,A834,Australsk encefalitt
342,A835,Californisk encefalitt
343,A836,Rociovirussykdom
344,A838,Annen spesifisert virusencefalitt overført ved mygg
345,A839,Uspesifisert virusencefalitt overført ved mygg
346,A840,Orientalsk encefalitt overført ved flått
347,A841,Sentraleuropeisk encefalitt overført ved flått
348,A848,Annen spesifisert virusencefalitt overført ved flått
349,A849,Uspesifisert virusencefalitt overført ved flått
350,A850,Enterovirusencefalitt
351,A851,Adenovirusencefalitt
352,A852,Uspesifisert virusencefalitt overført ved artropode
353,A858,Annen spesifisert virusencefalitt
354,A86,Uspesifisert virusencefalitt
355,A870,Enterovirusmeningitt
356,A871,Adenovirusmeningitt
357,A872,Lymfocyttisk choriomeningitt
358,A878,Annen spesifisert virusmeningitt
359,A879,Uspesifisert virusmeningitt
360,A880,Enteroviral eksantematøs feber
361,A881,Smittsom svimmelhet
362,A888,Annen spesifisert virusinfeksjon i sentralnervesystemet
363,A89,Uspesifisert virusinfeksjon i sentralnervesystemet
364,A920,Chikungunyavirussykdom
365,A921,O'nyong-nyongfeber
366,A922,Venezuelansk hestefeber
367,A923,West Nile-virusinfeksjon
368,A924,Rift Valley-feber
369,A925,Zikavirussykdom
370,A928,Annen spesifisert virussykdom overført ved mygg
371,A929,Uspesifisert virussykdom overført ved mygg
372,A930,Oropouchevirussykdom
373,A931,Sandfluefeber
374,A932,Coloradoflåttfeber
375,A938,Annen spesifisert virussykdom overført ved artropode
376,A94,Uspesifisert virussykdom overført ved artropode
377,A950,Sylvatisk gulfeber
378,A951,Urban gulfeber
379,A959,Uspesifisert gulfeber
380,A960,Hemoragisk juninvirussykdom
381,A961,Hemoragisk machupovirussykdom
382,A962,Lassafeber
383,A968,Annen spesifisert hemoragisk arenavirussykdom
384,A969,Uspesifisert hemoragisk arenavirussykdom
385,A970,Dengue uten varselstegn
386,A971,Dengue med varselstegn
387,A972,Alvorlig Dengue
388,A979,"Dengue, uspesifisert"
389,A980,Hemoragisk krimfeber som skyldes Congo-CHF-virus
390,A981,Hemoragisk Omsk-feber
391,A982,Kyasanur Forest-sykdom
392,A983,Marburg-virussykdom
393,A984,Ebola-virussykdom
394,A985,Hemoragisk feber med renalt syndrom
395,A988,Annen spesifisert hemoragisk virussykdom
396,A99,Uspesifisert hemoragisk virussykdom
397,B000,Eczema herpeticum
398,B001,Vesikulær herpesdermatitt
399,B002,Herpetisk gingivostomatitt eller faryngotonsillitt
400,B003,Herpesmeningitt
401,B004,Herpesencefalitt
402,B005,Okulær herpesvirussykdom
403,B007,Disseminert herpesvirussykdom
404,B008,Annen spesifisert form for herpesvirusinfeksjon
405,B009,Uspesifisert herpesvirusinfeksjon
406,B010,Varicellameningitt
407,B011,Varicellaencefalitt
408,B012,Varicellapneumoni
409,B018,Varicella med annen komplikasjon
410,B019,Varicella uten komplikasjoner
411,B020,Zosterencefalitt
412,B021,Zostermeningitt
413,B022,Herpes zoster med annen affeksjon av nervesystemet
414,B023,Herpes zoster-sykdom i øye
415,B027,Disseminert herpes zoster
416,B028,Herpes zoster med annen komplikasjon
417,B029,Herpes zoster uten komplikasjoner
418,B03,Kopper
419,B04,Apekopper
420,B050,Meslinger med encefalitt som komplikasjon
421,B051,Meslinger med meningitt som komplikasjon
422,B052,Meslinger med pneumoni som komplikasjon
423,B053,Meslinger med mellomørebetennelse som komplikasjon
424,B054,Meslinger med intestinal komplikasjon
425,B058,Meslinger med annen komplikasjon
426,B059,Meslinger uten komplikasjoner
427,B060,Rubella med nevrologisk komplikasjon
428,B068,Rubella med annen komplikasjon
429,B069,Rubella uten komplikasjoner
430,B07,Virusvorter
431,B080,Annen orthopoxvirusinfeksjon
432,B081,Molluscum contagiosum
433,B082,Exanthema subitum
434,B083,Erythema infectiosum
435,B084,Vesikulær stomatitt med eksantem som skyldes enterovirus
436,B085,Vesikulær faryngitt som skyldes enterovirus
437,B088,Annen spesifisert virusinfeksjon kjennetegnet ved hud- eller slimhinnelesjon
438,B09,Uspesifisert virusinfeksjon kjennetegnet ved hud- eller slimhinnelesjon
439,B150,Hepatitt A med leverkoma
440,B159,Hepatitt A uten leverkoma
441,B160,Akutt hepatitt B med koinfeksjon med deltavirus og leverkoma
442,B161,Akutt hepatitt B med koinfeksjon med deltavirus uten leverkoma
443,B162,Akutt hepatitt B uten deltavirus med leverkoma
444,B169,Akutt hepatitt B uten deltavirus og uten leverkoma
445,B170,Akutt delta(super)infeksjon ved kronisk hepatitt B
446,B171,Akutt hepatitt C
447,B172,Akutt hepatitt E
448,B178,Annen spesifisert akutt virushepatitt
449,B179,Akutt uspesifisert virushepatitt
450,B180,Kronisk virushepatitt B med deltavirus
451,B1800,"Kronisk virushepatitt B med delta-agens, i immuntolerant fase"
452,B1809,"Kronisk virushepatitt B med delta-agens, i annen eller uspesifisert fase"
453,B181,Kronisk virushepatitt B uten deltavirus
454,B1810,"Kronisk virushepatitt B uten delta-agens, i immuntolerant fase"
455,B1819,"Kronisk virushepatitt B uten delta-agens, i annen eller uspesifisert fase"
456,B182,Kronisk virushepatitt C
457,B188,Annen spesifisert kronisk virushepatitt
458,B189,Uspesifisert kronisk virushepatitt
459,B190,Uspesifisert virushepatitt med leverkoma
460,B199,Uspesifisert virushepatitt uten leverkoma
461,B200,Hiv-sykdom med mykobakterieinfeksjon
462,B201,Hiv-sykdom med annen bakterieinfeksjon
463,B202,Hiv-sykdom med cytomegalovirussykdom
464,B203,Hiv-sykdom med annen virusinfeksjon
465,B204,Hiv-sykdom med candidainfeksjon
466,B205,Hiv-sykdom med annen soppsykdom
467,B206,Hiv-sykdom med pneumoni som skyldes Pneumocystis jirovecii
468,B207,Hiv-sykdom med flere infeksjoner
469,B208,Hiv-sykdom med annen spesifisert infeksjons- eller parasittsykdom
470,B209,Hiv-sykdom med uspesifisert infeksjons- eller parasittsykdom
471,B210,Hiv-sykdom med Kaposis sarkom
472,B211,Hiv-sykdom med Burkitt lymfom
473,B212,Hiv-sykdom med annen type non-Hodgkin lymfom
474,B213,"Hiv-sykdom med annen ondartet svulst i lymfoid, hematopoietisk eller beslektet vev"
475,B217,Hiv-sykdom med flere ondartede svulster
476,B218,Hiv-sykdom med annen spesifisert ondartet svulst
477,B219,Hiv-sykdom med uspesifisert ondartet svulst
478,B220,Hiv-sykdom med encefalopati
479,B221,Hiv-sykdom med lymfoid interstitiell pneumonitt
480,B222,Hiv-sykdom med avmagringssyndrom
481,B227,Hiv-sykdom med flere sykdommer klassifisert annet sted som følge
482,B230,Akutt hiv-infeksjonssyndrom
483,B231,Hiv-sykdom med forbigående eller vedvarende generalisert lymfadenopati
484,B232,"Hiv-sykdom med hematologisk eller immunologisk abnormitet, ikke klassifisert annet sted"
485,B238,Hiv-sykdom med annen spesifisert tilstand som følge
486,B24,Uspesifisert humant immunsviktvirus-sykdom
487,B250,Cytomegaloviruspneumonitt
488,B251,Cytomegalovirushepatitt
489,B252,Cytomegaloviruspankreatitt
490,B258,Annen spesifisert cytomegalovirussykdom
491,B259,Uspesifisert cytomegalovirussykdom
492,B260,Kusmaorkitt
493,B261,Kusmameningitt
494,B262,Kusmaencefalitt
495,B263,Kusmapankreatitt
496,B268,Kusma med annen komplikasjon
497,B269,Kusma uten komplikasjoner
498,B270,Gammaherpesvirusmononukleose
499,B271,Cytomegalovirusmononukleose
500,B278,Annen spesifisert mononukleose
501,B279,Uspesifisert mononukleose
502,B300,Keratokonjunktivitt som skyldes adenovirus
503,B301,Konjunktivitt som skyldes adenovirus
504,B302,Virus-faryngokonjunktivitt
505,B303,Akutt epidemisk hemoragisk konjunktivitt
506,B308,Annen spesifisert viruskonjunktivitt
507,B309,Uspesifisert viruskonjunktivitt
508,B330,Epidemisk myalgi
509,B331,Ross River-sykdom
510,B332,Viruskarditt
511,B333,Retrovirusinfeksjon ikke klassifisert annet sted
512,B334,Hantavirusinfeksjon med pulmonalt eller kardiopulmonalt syndrom
513,B338,Annen spesifisert virussykdom
514,B340,Adenovirusinfeksjon med uspesifisert lokalisasjon
515,B341,Enterovirusinfeksjon med uspesifisert lokalisasjon
516,B342,Coronavirusinfeksjon med uspesifisert lokalisasjon
517,B343,Parvovirusinfeksjon med uspesifisert lokalisasjon
518,B344,Papovavirusinfeksjon med uspesifisert lokalisasjon
519,B348,Annen virusinfeksjon med uspesifisert lokalisasjon
520,B349,Uspesifisert virusinfeksjon
521,B350,Skjeggsopp eller hodebunnssopp
522,B351,Neglesopp
523,B352,Håndsopp
524,B353,Fotsopp
525,B354,Kroppssopp
526,B355,Kronisk kroppssopp
527,B356,Lyske- eller skrittsopp
528,B358,Annen spesifisert hudsoppsykdom
529,B359,Uspesifisert hudsoppsykdom
530,B360,Pityriasis versicolor
531,B361,Tinea nigra
532,B362,Tinea blanca
533,B363,Svart piedra
534,B368,Annen spesifisert overfladisk soppsykdom
535,B369,Uspesifisert overfladisk soppsykdom
536,B370,Candidastomatitt
537,B371,Candidainfeksjon i lunge
538,B372,Candidainfeksjon på hud eller negl
539,B373,Candidainfeksjon i ytre kvinnelige kjønnsorganer eller skjede
540,B374,Candidainfeksjon med annen lokalisasjon i kjønnsorganer eller urinveier
541,B375,Candidameningitt
542,B376,Candidaendokarditt
543,B377,Candidasepsis
544,B378,Candidainfeksjon med annen spesifisert lokalisasjon
545,B379,Uspesifisert candidainfeksjon
546,B380,Akutt pulmonal koksidioidomykose
547,B381,Kronisk pulmonal koksidioidomykose
548,B382,Uspesifisert pulmonal koksidioidomykose
549,B383,Kutan koksidioidomykose
550,B384,Koksidioidomykosemeningitt
551,B387,Disseminert koksidioidomykose
552,B388,Annen spesifisert form for koksidioidomykose
553,B389,Uspesifisert koksidioidomykose
554,B390,Akutt pulmonal histoplasmose
555,B391,Kronisk pulmonal histoplasmose
556,B392,Uspesifisert pulmonal histoplasmose
557,B393,Disseminert histoplasmose
558,B394,Uspesifisert histoplasmose som skyldes Histoplasma capsulatum
559,B395,Histoplasmose som skyldes Histoplasma duboisii
560,B399,Uspesifisert histoplasmose
561,B400,Akutt pulmonal blastomykose
562,B401,Kronisk pulmonal blastomykose
563,B402,Uspesifisert pulmonal blastomykose
564,B403,Kutan blastomykose
565,B407,Disseminert blastomykose
566,B408,Annen spesifisert form for blastomykose
567,B409,Uspesifisert blastomykose
568,B410,Pulmonal parakoksidioidomykose
569,B417,Disseminert parakoksidioidomykose
570,B418,Annen spesifisert form for parakoksidioidomykose
571,B419,Uspesifisert parakoksidioidomykose
572,B420,Pulmonal sporotrikose
573,B421,Lymfokutan sporotrikose
574,B427,Disseminert sporotrikose
575,B428,Annen spesifisert form for sporotrikose
576,B429,Uspesifisert sporotrikose
577,B430,Kutan kromomykose
578,B431,Feomykotisk hjerneabscess
579,B432,Subkutan feomykotisk abscess eller cyste
580,B438,Annen spesifisert form for kromomykose
581,B439,Uspesifisert kromomykose
582,B440,Invasiv pulmonal aspergillose
583,B441,Annen pulmonal aspergillose
584,B442,Tonsillær aspergillose
585,B447,Disseminert aspergillose
586,B448,Annen spesifisert form for aspergillose
587,B449,Uspesifisert aspergillose
588,B450,Pulmonal kryptokokkose
589,B451,Cerebral kryptokokkose
590,B452,Kutan kryptokokkose
591,B453,Ossøs kryptokokkose
592,B457,Disseminert kryptokokkose
593,B458,Annen spesifisert form for kryptokokkose
594,B459,Uspesifisert kryptokokkose
595,B460,Pulmonal mucormykose
596,B461,Rinocerebral mucormykose
597,B462,Gastrointestinal mucormykose
598,B463,Kutan mucormykose
599,B464,Disseminert mucormykose
600,B465,Uspesifisert mucormykose
601,B468,Annen spesifisert zygomykose
602,B469,Uspesifisert zygomykose
603,B470,Eumycetom
604,B471,Aktinomycetom
605,B479,Uspesifisert mycetom
606,B480,Lobomykose
607,B481,Rinosporidiose
608,B482,Allescheriasis
609,B483,Geotrikose
